"RY171","KENSINGTON PARK GENERAL PRACTICE","NHS TRUST SITE","","01-11-2010","31-03-2018","01-11-2010","","Active","JUBILEE DRIVE","LIVERPOOL","L7 8SJ"
"RYX09","SOHO SQUARE GENERAL PRACTICE","NHS TRUST SITE","","01-10-2011","","01-10-2011","","Active","FIRST FLOOR, 1 FRITH STREET","LONDON","W1D 3HZ"
"S70925","RICCARTON GENERAL PRACTICE","SCOTTISH GP PRACTICE","GP PRACTICE","01-10-1994","","01-10-1994","","Active","HERIOT-WATT UNIVERSITY MEDICAL CTR","CURRIE","EH14 4AS"
"S71171","CHALLENGING BEHAVIOUR GENERAL PRACTICE","SCOTTISH GP PRACTICE","GP PRACTICE","01-04-2004","","01-04-2004","","Active","THE ANDREW DUNCAN CLINIC","EDINBURGH","EH10 5HF"
"T2X1R","SMART GENERAL PRACTICE","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","11-09-2025","","11-09-2025","","Active","16 HIGHFIELD ROAD","LEEDS","LS13 2BL"
"TAP28","AUDLEY/WHITEBANK GENERAL PRACTICE","CARE TRUST SITE","","01-04-2010","31-03-2013","01-04-2010","30-09-2021","Inactive","431 AUDLEY RANGE","BLACKBURN","BB1 1UD"
"W6V7K","KLEYN HEALTHCARE - BOLTON GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2021","","01-04-2021","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"Y02319","BOLTON GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","30-06-2008","","30-06-2008","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"Y02620","THE HILL GENERAL PRACTICE & UCC","PRESCRIBING COST CENTRE","GP PRACTICE","22-04-2009","","22-04-2009","","Active","856 STRATFORD ROAD","BIRMINGHAM","B11 4BW"
"Y02767","THE HEIGHT GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","01-07-2009","","17-06-2009","","Active","THE SURGERY","SALFORD","M6 7NJ"
"Y2R2L","THE HEIGHT GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2021","","01-04-2021","","Active","355 BOLTON ROAD","SALFORD","M6 7NJ"
